NOT_ID,POLL_TYPE,POLLUTANT
1018442,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
1018968,Sewage Materials,Crude Sewage
1018824,Atmospheric Pollutants and Effects,Chemical Odour
1019113,General Biodegradable Materials and Wastes,Algae
931663,Atmospheric Pollutants and Effects,Dust
1020341,Oils and Fuel,Other Oil or Fuel
1020120,Pollutant Not Identified,Not Identified
1020476,Atmospheric Pollutants and Effects,Other Odour
1020551,Other Pollutant,Microbiological
1022039,Contaminated Water,Suspended Solids
1021825,Contaminated Water,Suspended Solids
998282,Agricultural Materials and Wastes,Silage Liquors
998282,Agricultural Materials and Wastes,Slurry and Dilute Slurry
1020483,Pollutant Not Identified,Not Identified
1022027,Atmospheric Pollutants and Effects,Other Odour
1022376,Inert Materials and Wastes,Soils and Clay
1024882,Oils and Fuel,Unidentified Oil
1017008,Sewage Materials,Crude Sewage
1020743,Oils and Fuel,Diesel
1020947,Agricultural Materials and Wastes,Slurry and Dilute Slurry
1023273,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
1023121,Sewage Materials,Crude Sewage
1023121,Specific Waste Materials,Commercial Waste
1023121,Specific Waste Materials,Household Waste
1023121,Specific Waste Materials,Vehicles and Vehicle Parts
1023121,Oils and Fuel,Gas and Fuel Oils
1023121,Oils and Fuel,Mixed/Waste Oils
1022314,Sewage Materials,Crude Sewage
1022314,Sewage Materials,Other Sewage Material
1025250,Atmospheric Pollutants and Effects,Other Odour
1025042,Agricultural Materials and Wastes,Slurry and Dilute Slurry
1025041,Atmospheric Pollutants and Effects,Smoke
1025041,Contaminated Water,Firefighting Run-Off
1025041,Contaminated Water,Suspended Solids
1023986,Other Pollutant,Microbiological
968924,Oils and Fuel,Diesel
1023737,General Biodegradable Materials and Wastes,Animal and Vegetable Oil
1023737,General Biodegradable Materials and Wastes,Food and Drink
1023737,Sewage Materials,Sludge
1025725,Other Pollutant,Noise
1025766,Atmospheric Pollutants and Effects,Other Odour
1022172,Pollutant Not Identified,Not Identified
1022352,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
1021768,Atmospheric Pollutants and Effects,Other Odour
1005622,Oils and Fuel,Diesel
1016105,Inorganic Chemicals/Products,Acids
1016105,Organic Chemicals/Products,Hydrocarbons
1016105,Organic Chemicals/Products,Solvents
1024352,Other Pollutant,Other
1024397,Atmospheric Pollutants and Effects,Other Odour
1026468,Contaminated Water,Other Contaminated Water
975268,Specific Waste Materials,Commercial Waste
997596,Sewage Materials,Crude Sewage
975081,Atmospheric Pollutants and Effects,Sulphide Odour
1003203,Agricultural Materials and Wastes,Fertiliser
1003203,Organic Chemicals/Products,Pesticides and Biocides
963921,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
1003858,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
1003858,Specific Waste Materials,Contaminated Construction & Demolition Mat & Waste
994478,Specific Waste Materials,Other Specific Waste Material
994478,Specific Waste Materials,Contaminated Construction & Demolition Mat & Waste
966301,Specific Waste Materials,Asbestos
1009327,Pollutant Not Identified,Not Identified
1009332,Oils and Fuel,Crude Oil
992453,Sewage Materials,Final Effluent
979112,Sewage Materials,Crude Sewage
992577,Contaminated Water,Other Contaminated Water
1002437,Organic Chemicals/Products,Pesticides and Biocides
1009731,Other Pollutant,Microbiological
1010698,Sewage Materials,Sludge
992691,Sewage Materials,Crude Sewage
992691,Sewage Materials,Grey Water
992780,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
960238,Agricultural Materials and Wastes,Slurry and Dilute Slurry
993044,Oils and Fuel,Kerosene and Aviation Fuel
986598,Inorganic Chemicals/Products,Acids
998405,Other Pollutant,Microbiological
998784,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
994385,Contaminated Water,Other Contaminated Water
997556,Sewage Materials,Crude Sewage
971213,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
971213,Inert Materials and Wastes,Rocks and Gravel
971213,Inert Materials and Wastes,Soils and Clay
